30;40
1;17;58
2;17;40
3;1;59
4;9;62
5;20;27
6;15;37
7;10;10
8;17;12
9;10;74
10;4;25
11;1;36
12;22;9
13;8;35
14;5;43
15;22;24
16;10;71
17;6;45
18;4;81
19;14;38
20;8;26
21;2;49
22;15;31
23;5;44
24;1;16
25;1;76
26;16;10
27;11;73
28;21;43
29;10;43
30;15;97
31;19;52
32;13;82
33;14;28
34;10;63
35;16;15
36;23;13
37;17;98
38;5;39
39;8;77
40;23;28
41;22;73
42;11;72
43;9;62
44;6;58
45;16;68
46;4;19
47;19;84
48;16;76
49;3;91
50;4;82
51;13;81
52;1;98
53;19;97
54;16;10
55;18;56
56;22;88
57;22;24
58;8;14
59;10;95
60;17;82
61;15;75
62;20;67
63;3;28
64;8;19
65;13;74
66;2;66
67;23;71
68;16;59
69;23;16
70;22;85
71;22;35
72;24;44
73;9;55
74;12;70
75;20;33
76;22;82
77;22;42
78;3;53
79;5;19
80;9;31
81;21;52
82;2;98
83;12;4
84;10;30
85;3;9
86;18;58
87;19;5
88;9;65
89;2;56
90;18;98
91;13;91
92;11;7
93;4;43
94;13;65
95;6;17
96;10;16
97;6;70
98;3;46
99;15;21
100;23;38
101;4;70
102;15;68
103;7;37
104;12;35
105;3;95
106;10;100
107;10;92
108;8;86
109;11;100
110;22;53
111;8;22
112;10;32
113;19;5
114;22;23
115;5;5
116;17;36
117;1;47
118;22;1
119;15;12
120;18;12
121;9;69
122;4;22
123;18;43
124;2;83
125;14;50
126;2;72
127;18;48
128;10;42
129;24;54
130;5;20
131;12;70
132;6;72
133;4;18
134;18;58
135;10;2
136;22;23
137;6;50
138;8;0
139;6;81
140;17;66
141;23;73
142;16;94
143;24;28
144;10;22
145;2;40
146;1;16
147;11;17
148;21;94
149;11;36
150;1;32
151;8;11
152;17;23
153;22;15
154;3;30
155;4;67
156;23;98
157;22;45
158;5;71
159;2;82
160;21;8
161;3;5
162;1;7
163;4;53
164;2;80
165;8;76
166;15;56
167;22;36
168;18;75
169;2;4
170;23;26
171;8;39
172;8;86
173;23;84
174;13;69
175;15;29
176;8;27
177;19;87
178;23;41
179;3;0
180;19;29
181;23;23
182;16;99
183;16;17
184;17;49
185;24;85
186;11;85
187;2;69
188;8;21
189;3;32
190;21;52
191;17;6
192;15;95
193;24;82
194;1;74
195;8;0
196;8;67
197;7;5
198;16;15
199;8;36
200;20;29
201;7;15
202;13;49
203;18;6
204;9;1
205;20;92
206;8;47
207;8;79
208;18;21
209;8;1
210;23;75
211;24;59
212;20;90
213;11;89
214;5;51
215;13;82
216;13;21
217;8;15
218;14;49
219;1;37
220;18;40
221;6;61
222;24;5
223;15;74
224;13;24
225;8;34
226;16;57
227;11;85
228;19;100
229;14;80
230;20;2
231;5;32
232;13;31
233;13;28
234;11;96
235;20;99
236;6;69
237;11;13
238;16;36
239;21;74
240;10;95
241;16;28
242;12;24
243;19;21
244;4;13
245;8;94
246;11;74
247;8;10
248;11;32
249;6;26
250;8;47
251;22;48
252;14;31
253;24;46
254;3;11
255;18;4
256;14;66
257;16;40
258;11;27
259;14;62
260;12;28
261;12;40
262;1;17
263;7;81
264;9;30
265;11;29
266;18;96
267;23;41
268;12;93
269;3;7
270;3;83
271;2;13
272;24;87
273;10;43
274;21;50
275;23;35
276;11;51
277;22;13
278;5;49
279;21;47
280;4;39
281;21;66
282;19;38
283;8;9
284;1;64
285;3;51
286;17;41
287;2;81
288;14;30
289;23;40
290;6;21
291;19;69
292;17;89
293;19;34
294;10;37
295;23;3
296;13;97
297;8;94
298;22;64
299;2;26
300;9;7
301;4;78
302;23;7
303;8;61
304;6;31
305;23;10
306;15;45
307;22;33
308;23;43
309;5;6
310;10;22
311;14;44
312;24;18
313;10;46
314;7;75
315;3;89
316;10;14
317;2;64
318;8;25
319;19;66
320;21;13
321;1;72
322;6;68
323;9;22
324;8;61
325;2;55
326;14;64
327;16;73
328;22;96
329;3;58
330;24;82
331;19;76
332;9;55
333;16;26
334;19;44
335;2;96
336;4;19
337;12;85
338;14;8
339;21;2
340;6;43
341;5;0
342;4;27
343;10;87
344;18;46
345;18;20
346;8;23
347;16;19
348;23;59
349;15;60
350;11;28
351;22;44
352;15;21
353;6;85
354;22;63
355;18;39
356;2;84
357;24;52
358;21;84
359;18;43
360;10;85
361;18;82
362;9;93
363;9;76
364;11;90
365;16;29
366;6;23
367;21;50
368;15;20
369;18;21
370;1;15
371;23;75
372;12;87
373;1;80
374;5;81
375;5;8
376;6;75
377;22;36
378;12;97
379;17;33
380;17;13
381;20;59
382;24;13
383;13;67
384;14;29
385;14;84
386;22;86
387;19;11
388;15;62
389;15;9
390;17;32
391;5;74
392;12;49
393;19;75
394;5;35
395;18;58
396;9;93
397;15;34
398;12;86
399;24;80
400;18;93
401;23;98
402;22;35
403;16;2
404;5;70
405;17;87
406;21;94
407;18;12
