43;30
1;10;5
2;9;2
3;15;7
4;3;6
5;2;1
6;6;6
7;3;8
8;4;6
9;12;8
10;2;1
11;13;9
12;3;4
13;3;5
14;5;4
15;9;2
16;3;8
17;9;9
18;6;7
19;4;6
20;6;4
21;3;3
22;8;2
23;5;5
24;10;11
25;11;10
26;7;9
27;9;5
28;10;7
29;11;9
30;7;4
31;1;1
32;2;1
33;3;1
34;2;2
35;3;2
36;4;1
37;2;4
38;10;1
39;10;3
40;3;2
41;12;15
42;17;20
43;12;2
44;20;28
45;11;9
46;15;15
47;9;13
48;10;4
49;2;1
50;21;33
51;23;35
52;19;30
53;18;31
54;4;2
55;7;3
56;9;4
57;4;6
58;20;39
59;21;39
60;11;18
61;15;27
62;16;2
63;29;6
64;22;2
65;15;5
66;3;1
67;5;3
68;3;2
69;18;24
70;20;40
71;21;39
72;19;21
73;22;33
74;19;29
75;8;9
76;24;50
77;25;51
78;28;49
79;26;44
80;15;14
81;27;48
82;22;41
83;21;43
84;18;38
85;17;35
86;19;10
87;18;40
88;17;38
89;16;36
90;15;34
91;1;1
92;1;1
93;1;1
94;2;2
95;2;2
96;3;3
97;4;4
98;5;5
99;2;1
100;15;50
101;1;0
102;1;0
